ordinal,journey_kind,scheduled_at_unix_microseconds,offered_at_unix_microseconds,arrival_lag_microseconds,admission_status,admission_microseconds,completion_microseconds,authoritative_completion_microseconds,run_id,idempotency_replay_checked,idempotency_replay_passed,evidence_checked,evidence_passed,total_agent_runs,child_agent_runs,thread_events,workflow_instances,tool_calls,approvals,tool_attempts,error_class
0,measured-agent-decision,1785823381179222,1785823381180576,1354,201,296006,7186175,441486,run-root-182908,true,true,true,true,1,0,2,1,1,1,1,
1,measured-agent-decision,1785823381179222,1785823381180651,1429,201,295250,7159451,449266,run-root-182909,false,false,true,true,1,0,2,1,1,1,1,
2,measured-agent-decision,1785823381179222,1785823381180990,1768,201,317839,7494202,418294,run-root-182914,false,false,true,true,1,0,2,0,0,0,0,
3,measured-agent-decision,1785823381179222,1785823381180785,1563,201,295845,7202344,416775,run-root-182911,false,false,true,true,1,0,2,0,0,0,0,
4,measured-agent-decision,1785823381179222,1785823381181130,1908,201,306201,7328109,416157,run-root-182915,false,false,true,true,1,0,2,0,0,0,0,
5,measured-agent-decision,1785823381179222,1785823381181902,2680,201,363150,7585710,854977,run-root-182938,false,false,true,true,2,1,2,0,0,0,0,
6,measured-agent-decision,1785823381179222,1785823381180846,1624,201,317963,7516325,417156,run-root-182916,false,false,true,true,1,0,2,0,0,0,0,
7,measured-agent-decision,1785823381179222,1785823381181251,2029,201,313819,7371242,437737,run-root-182919,false,false,true,true,1,0,2,0,0,0,0,
8,measured-agent-decision,1785823381179222,1785823381181447,2225,201,365150,7595345,554702,run-root-182934,false,false,true,true,1,0,2,1,0,0,0,
9,measured-agent-decision,1785823381179222,1785823381180912,1690,201,295884,7288405,418517,run-root-182912,false,false,true,true,1,0,2,0,0,0,0,
10,measured-agent-decision,1785823381179222,1785823381184945,5723,201,547968,7776426,583909,run-root-183003,false,false,true,true,1,0,2,0,0,0,0,
11,measured-agent-decision,1785823381179222,1785823381185160,5938,201,531224,7750833,605650,run-root-182998,false,false,true,true,1,0,2,0,0,0,0,
12,measured-agent-decision,1785823381179222,1785823381180957,1735,201,241087,6276417,490327,run-root-182893,false,false,true,true,2,1,2,0,0,0,0,
13,measured-agent-decision,1785823381179222,1785823381181941,2719,201,368791,7602116,792671,run-root-182941,false,false,true,true,2,1,2,0,0,0,0,
14,measured-agent-decision,1785823381179222,1785823381184815,5593,201,524384,7739845,674091,run-root-182994,false,false,true,true,1,0,2,1,1,1,1,
15,measured-agent-decision,1785823381179222,1785823381181013,1791,201,300802,7310742,417900,run-root-182913,false,false,true,true,1,0,2,0,0,0,0,
16,measured-agent-decision,1785823381179222,1785823381181311,2089,201,336192,7533010,480984,run-root-182924,false,false,true,true,1,0,2,1,0,0,0,
17,measured-agent-decision,1785823381179222,1785823381182614,3392,201,430936,7654995,498827,run-root-182959,false,false,true,true,1,0,2,0,0,0,0,
18,measured-agent-decision,1785823381179222,1785823381185931,6709,201,579037,7848004,728447,run-root-183015,false,false,true,true,1,0,2,1,0,0,0,
19,measured-agent-decision,1785823381179222,1785823381181050,1828,201,321435,7516569,439283,run-root-182918,false,false,true,true,1,0,2,0,0,0,0,
20,measured-agent-decision,1785823381179222,1785823381184322,5100,201,497148,7725563,994418,run-root-182987,false,false,true,true,5,4,2,0,0,0,0,
21,measured-agent-decision,1785823381179222,1785823381186106,6884,201,581786,7860655,661789,run-root-183017,false,false,true,true,1,0,2,1,0,0,0,
22,measured-agent-decision,1785823381179222,1785823381189322,10100,201,838117,7988513,873015,run-root-183087,false,false,true,true,1,0,2,0,0,0,0,
23,measured-agent-decision,1785823381179222,1785823381181112,1890,201,314718,7450670,440815,run-root-182920,false,false,true,true,1,0,2,0,0,0,0,
24,measured-agent-decision,1785823381179222,1785823381181384,2162,201,354674,7569729,473656,run-root-182926,false,false,true,true,1,0,2,1,0,0,0,
25,measured-agent-decision,1785823381179222,1785823381181571,2349,201,362943,7578722,476673,run-root-182932,false,false,true,true,1,0,2,1,0,0,0,
26,measured-agent-decision,1785823381179222,1785823381182876,3654,201,442781,7659513,531891,run-root-182962,false,false,true,true,1,0,2,0,0,0,0,
27,measured-agent-decision,1785823381179222,1785823381181181,1959,201,312014,7346631,437166,run-root-182917,false,false,true,true,1,0,2,0,0,0,0,
28,measured-agent-decision,1785823381179222,1785823381182152,2930,201,327240,7533394,443477,run-root-182921,false,false,true,true,1,0,2,0,0,0,0,
29,measured-agent-decision,1785823381179222,1785823381183484,4262,201,479361,7710886,582997,run-root-182976,false,false,true,true,1,0,2,1,0,0,0,
30,measured-agent-decision,1785823381179222,1785823381185378,6156,201,554616,7785999,713329,run-root-183007,false,false,true,true,1,0,2,1,0,0,0,
31,measured-agent-decision,1785823381179222,1785823381185629,6407,201,579129,7842916,657500,run-root-183018,false,false,true,true,1,0,2,1,0,0,0,
32,measured-agent-decision,1785823381179222,1785823381181250,2028,201,246094,6292263,619455,run-root-182896,false,false,true,true,2,1,2,0,0,0,0,
33,measured-agent-decision,1785823381179222,1785823381182517,3295,201,249530,6385786,677876,run-root-182901,false,false,true,true,2,1,2,0,0,0,0,
34,measured-agent-decision,1785823381179222,1785823381182709,3487,201,304839,7326526,454514,run-root-182910,false,false,true,true,1,0,2,1,1,1,1,
35,measured-agent-decision,1785823381179222,1785823381184513,5291,201,540012,7760401,566414,run-root-182995,false,false,true,true,1,0,2,0,0,0,0,
36,measured-agent-decision,1785823381179222,1785823381184780,5558,201,546334,7768590,588911,run-root-183000,false,false,true,true,1,0,2,0,0,0,0,
37,measured-agent-decision,1785823381179222,1785823381181337,2115,201,316704,7463365,443066,run-root-182922,false,false,true,true,1,0,2,0,0,0,0,
38,measured-agent-decision,1785823381179222,1785823381184207,4985,201,323281,7525449,475995,run-root-182923,false,false,true,true,1,0,2,1,0,0,0,
39,measured-agent-decision,1785823381179222,1785823381184362,5140,201,485534,7714872,911670,run-root-182985,false,false,true,true,2,1,2,0,0,0,0,
40,measured-agent-decision,1785823381179222,1785823381189066,9844,201,782271,7970015,822798,run-root-183079,false,false,true,true,1,0,2,0,0,0,0,
41,measured-agent-decision,1785823381179222,1785823381190728,11506,201,917796,8058024,984461,run-root-183119,false,false,true,true,1,0,2,1,1,1,1,
42,measured-agent-decision,1785823381179222,1785823381181428,2206,201,347784,7550883,470373,run-root-182928,false,false,true,true,1,0,2,1,0,0,0,
43,measured-agent-decision,1785823381179222,1785823381184416,5194,201,504203,7727115,1047854,run-root-182988,false,false,true,true,5,4,2,0,0,0,0,
44,measured-agent-decision,1785823381179222,1785823381187758,8536,201,672090,7304182,818681,run-root-183049,false,false,true,true,1,0,2,1,0,0,0,
45,measured-agent-decision,1785823381179222,1785823381187980,8758,201,660938,7911078,833001,run-root-183050,false,false,true,true,1,0,2,1,0,0,0,
46,measured-agent-decision,1785823381179222,1785823381189621,10399,201,882747,8025100,1085324,run-root-183107,false,false,true,true,2,1,2,0,0,0,0,
47,measured-agent-decision,1785823381179222,1785823381191274,12052,201,1036474,7946064,1122259,run-root-183137,false,false,true,true,1,0,2,1,0,0,0,
48,measured-agent-decision,1785823381179222,1785823381181444,2222,201,348906,7560953,469109,run-root-182929,false,false,true,true,1,0,2,1,0,0,0,
49,measured-agent-decision,1785823381179222,1785823381182780,3558,201,428048,7643132,498364,run-root-182960,false,false,true,true,1,0,2,0,0,0,0,
50,measured-agent-decision,1785823381179222,1785823381184535,5313,201,530840,7742490,646175,run-root-182992,false,false,true,true,1,0,2,1,1,1,1,
51,measured-agent-decision,1785823381179222,1785823381186349,7127,201,586653,6962397,1119400,run-root-183023,false,false,true,true,2,1,2,0,0,0,0,
52,measured-agent-decision,1785823381179222,1785823381188055,8833,201,676270,7922093,1000851,run-root-183056,false,false,true,true,1,0,2,1,0,0,0,
53,measured-agent-decision,1785823381179222,1785823381189721,10499,201,868852,8008724,993715,run-root-183099,false,false,true,true,1,0,2,1,0,0,0,
54,measured-agent-decision,1785823381179222,1785823381181493,2271,201,366337,6260439,597404,run-root-182935,false,false,true,true,2,1,2,0,0,0,0,
55,measured-agent-decision,1785823381179222,1785823381182827,3605,201,443860,7672586,525377,run-root-182963,false,false,true,true,1,0,2,0,0,0,0,
56,measured-agent-decision,1785823381179222,1785823381186315,7093,201,560521,7806754,681407,run-root-183013,false,false,true,true,1,0,2,1,0,0,0,
57,measured-agent-decision,1785823381179222,1785823381188016,8794,201,679550,7925303,956629,run-root-183054,false,false,true,true,1,0,2,1,0,0,0,
58,measured-agent-decision,1785823381179222,1785823381189675,10453,201,820316,7977311,891032,run-root-183092,false,false,true,true,1,0,2,1,0,0,0,
59,measured-agent-decision,1785823381179222,1785823381189900,10678,201,868702,8010425,1087832,run-root-183104,false,false,true,true,2,1,2,0,0,0,0,
60,measured-agent-decision,1785823381179222,1785823381181539,2317,201,372282,7606885,626109,run-root-182937,false,false,true,true,2,1,2,0,0,0,0,
61,measured-agent-decision,1785823381179222,1785823381182933,3711,201,445486,7676617,570210,run-root-182966,false,false,true,true,1,0,2,1,0,0,0,
62,measured-agent-decision,1785823381179222,1785823381183123,3901,201,435367,7659151,583630,run-root-182965,false,false,true,true,1,0,2,1,0,0,0,
63,measured-agent-decision,1785823381179222,1785823381185028,5806,201,343623,7538929,468125,run-root-182927,false,false,true,true,1,0,2,1,0,0,0,
64,measured-agent-decision,1785823381179222,1785823381186798,7576,201,636708,7891480,744698,run-root-183032,false,false,true,true,1,0,2,0,0,0,0,
65,measured-agent-decision,1785823381179222,1785823381188512,9290,201,703387,7941786,976596,run-root-183067,false,false,true,true,2,1,2,0,0,0,0,
66,measured-agent-decision,1785823381179222,1785823381181691,2469,201,369608,7604485,597905,run-root-182936,false,false,true,true,2,1,2,0,0,0,0,
67,measured-agent-decision,1785823381179222,1785823381183020,3798,201,455169,7693077,623360,run-root-182968,false,false,true,true,1,0,2,1,0,0,0,
68,measured-agent-decision,1785823381179222,1785823381186512,7290,201,624047,7888865,1058690,run-root-183030,false,false,true,true,5,4,2,0,0,0,0,
69,measured-agent-decision,1785823381179222,1785823381188233,9011,201,678634,7922472,764229,run-root-183059,false,false,true,true,1,0,2,1,0,0,0,
70,measured-agent-decision,1785823381179222,1785823381191399,12177,201,1066961,8158430,1154629,run-root-183144,false,false,true,true,1,0,2,1,0,0,0,
71,measured-agent-decision,1785823381179222,1785823381194590,15368,201,964586,7850104,1001597,run-root-183126,false,false,true,true,1,0,2,0,0,0,0,
72,measured-agent-decision,1785823381179222,1785823381181707,2485,201,379519,6313489,779246,run-root-182942,false,false,true,true,2,1,2,0,0,0,0,
73,measured-agent-decision,1785823381179222,1785823381183091,3869,201,450855,7678966,620465,run-root-182969,false,false,true,true,1,0,2,1,0,0,0,
74,measured-agent-decision,1785823381179222,1785823381183286,4064,201,459009,7697590,571892,run-root-182973,false,false,true,true,1,0,2,1,0,0,0,
75,measured-agent-decision,1785823381179222,1785823381185240,6018,201,530827,7744884,589455,run-root-182997,false,false,true,true,1,0,2,0,0,0,0,
76,measured-agent-decision,1785823381179222,1785823381185420,6198,201,538499,7758606,568341,run-root-183005,false,false,true,true,1,0,2,0,0,0,0,
77,measured-agent-decision,1785823381179222,1785823381187142,7920,201,639971,7893191,720194,run-root-183036,false,false,true,true,1,0,2,1,1,1,1,
78,measured-agent-decision,1785823381179222,1785823381181792,2570,201,367138,7594220,806235,run-root-182939,false,false,true,true,2,1,2,0,0,0,0,
79,measured-agent-decision,1785823381179222,1785823381182109,2887,201,402218,6365863,460152,run-root-182948,false,false,true,true,1,0,2,0,0,0,0,
80,measured-agent-decision,1785823381179222,1785823381183861,4639,201,478912,7710222,707265,run-root-182978,false,false,true,true,2,1,2,0,0,0,0,
81,measured-agent-decision,1785823381179222,1785823381185544,6322,201,564476,7824253,719085,run-root-183009,false,false,true,true,1,0,2,1,0,0,0,
82,measured-agent-decision,1785823381179222,1785823381187439,8217,201,648952,7903102,683852,run-root-183040,false,false,true,true,1,0,2,0,0,0,0,
83,measured-agent-decision,1785823381179222,1785823381187579,8357,201,657933,7909415,706325,run-root-183042,false,false,true,true,1,0,2,0,0,0,0,
84,measured-agent-decision,1785823381179222,1785823381189226,10004,201,841979,7991181,870712,run-root-183084,false,false,true,true,1,0,2,0,0,0,0,
85,measured-agent-decision,1785823381179222,1785823381181793,2571,201,386279,7609314,764157,run-root-182943,false,false,true,true,2,1,2,0,0,0,0,
86,measured-agent-decision,1785823381179222,1785823381183030,3808,201,438962,7658668,517570,run-root-182961,false,false,true,true,1,0,2,0,0,0,0,
87,measured-agent-decision,1785823381179222,1785823381184880,5658,201,539688,7760606,563932,run-root-182999,false,false,true,true,1,0,2,0,0,0,0,
88,measured-agent-decision,1785823381179222,1785823381185075,5853,201,546711,7775763,592609,run-root-183001,false,false,true,true,1,0,2,0,0,0,0,
89,measured-agent-decision,1785823381179222,1785823381186744,7522,201,594666,7874155,891151,run-root-183027,false,false,true,true,2,1,2,0,0,0,0,
90,measured-agent-decision,1785823381179222,1785823381188392,9170,201,705910,7942002,1024990,run-root-183064,false,false,true,true,2,1,2,0,0,0,0,
91,measured-agent-decision,1785823381179222,1785823381191430,12208,201,1052782,8139058,1305547,run-root-183149,false,false,true,true,2,1,2,0,0,0,0,
92,measured-agent-decision,1785823381179222,1785823381181869,2647,201,366508,6280999,866844,run-root-182940,false,false,true,true,2,1,2,0,0,0,0,
93,measured-agent-decision,1785823381179222,1785823381183329,4107,201,254457,6882607,789275,run-root-182902,false,false,true,true,5,4,2,0,0,0,0,
94,measured-agent-decision,1785823381179222,1785823381183775,4553,201,258296,6127198,816823,run-root-182903,false,false,true,true,5,4,2,0,0,0,0,
95,measured-agent-decision,1785823381179222,1785823381183959,4737,201,476716,7709693,764122,run-root-182979,false,false,true,true,2,1,2,0,0,0,0,
96,measured-agent-decision,1785823381179222,1785823381185680,6458,201,567336,7843399,728659,run-root-183011,false,false,true,true,1,0,2,1,0,0,0,
97,measured-agent-decision,1785823381179222,1785823381187534,8312,201,648261,7907945,712145,run-root-183044,false,false,true,true,1,0,2,0,0,0,0,
98,measured-agent-decision,1785823381179222,1785823381189275,10053,201,800908,7491335,841267,run-root-183083,false,false,true,true,1,0,2,0,0,0,0,
99,measured-agent-decision,1785823381179222,1785823381181932,2710,201,253198,6405966,808369,run-root-182899,false,false,true,true,2,1,2,0,0,0,0,
100,measured-agent-decision,1785823381179222,1785823381183435,4213,201,458101,7694925,567845,run-root-182974,true,true,true,true,1,0,2,1,0,0,0,
101,measured-agent-decision,1785823381179222,1785823381186953,7731,201,632034,7888430,745045,run-root-183031,false,false,true,true,1,0,2,0,0,0,0,
102,measured-agent-decision,1785823381179222,1785823381188630,9408,201,714567,7958173,1054501,run-root-183069,false,false,true,true,2,1,2,0,0,0,0,
103,measured-agent-decision,1785823381179222,1785823381190364,11142,201,923569,8063866,1019299,run-root-183120,false,false,true,true,1,0,2,1,1,1,1,
104,measured-agent-decision,1785823381179222,1785823381190514,11292,201,899092,8039051,1168077,run-root-183111,false,false,true,true,2,1,2,0,0,0,0,
105,measured-agent-decision,1785823381179222,1785823381192022,12800,201,1058801,8153723,1379541,run-root-183151,false,false,true,true,2,1,2,0,0,0,0,
106,measured-agent-decision,1785823381179222,1785823381181934,2712,201,256597,7102797,663889,run-root-182900,false,false,true,true,2,1,2,0,0,0,0,
107,measured-agent-decision,1785823381179222,1785823381183197,3975,201,464606,7694870,539613,run-root-182972,false,false,true,true,1,0,2,1,0,0,0,
108,measured-agent-decision,1785823381179222,1785823381185113,5891,201,562262,7807035,583987,run-root-183004,false,false,true,true,1,0,2,0,0,0,0,
109,measured-agent-decision,1785823381179222,1785823381186853,7631,201,615235,7877661,1122764,run-root-183028,false,false,true,true,5,4,2,0,0,0,0,
110,measured-agent-decision,1785823381179222,1785823381188583,9361,201,710604,7954336,1091568,run-root-183068,false,false,true,true,2,1,2,0,0,0,0,
111,measured-agent-decision,1785823381179222,1785823381190273,11051,201,885491,8026260,1149476,run-root-183110,false,false,true,true,2,1,2,0,0,0,0,
112,measured-agent-decision,1785823381179222,1785823381193115,13893,201,1149154,8186572,1217904,run-root-183175,false,false,true,true,1,0,2,1,0,0,0,
113,measured-agent-decision,1785823381179222,1785823381181962,2740,201,253718,6423375,401877,run-root-182905,false,false,true,true,1,0,2,0,0,0,0,
114,measured-agent-decision,1785823381179222,1785823381182382,3160,201,409536,7626379,460116,run-root-182949,false,false,true,true,1,0,2,0,0,0,0,
115,measured-agent-decision,1785823381179222,1785823381187263,8041,201,649075,7905123,688996,run-root-183039,false,false,true,true,1,0,2,0,0,0,0,
116,measured-agent-decision,1785823381179222,1785823381188940,9718,201,411995,7628511,519434,run-root-182953,false,false,true,true,1,0,2,0,0,0,0,
117,measured-agent-decision,1785823381179222,1785823381190612,11390,201,899228,8040988,984768,run-root-183116,false,false,true,true,1,0,2,0,0,0,0,
118,measured-agent-decision,1785823381179222,1785823381192160,12938,201,1062975,8151627,1452862,run-root-183156,false,false,true,true,5,4,2,0,0,0,0,
119,measured-agent-decision,1785823381179222,1785823381193707,14485,201,1216982,8220884,1331823,run-root-183188,false,false,true,true,2,1,2,0,0,0,0,
120,measured-agent-decision,1785823381179222,1785823381182045,2823,201,389234,7610073,864636,run-root-182944,false,false,true,true,5,4,2,0,0,0,0,
121,measured-agent-decision,1785823381179222,1785823381183393,4171,201,472357,7700795,588159,run-root-182975,false,false,true,true,1,0,2,1,0,0,0,
122,measured-agent-decision,1785823381179222,1785823381185316,6094,201,563754,7822229,596575,run-root-183006,false,false,true,true,1,0,2,0,0,0,0,
123,measured-agent-decision,1785823381179222,1785823381187003,7781,201,640445,7895021,724411,run-root-183035,false,false,true,true,1,0,2,1,1,1,1,
124,measured-agent-decision,1785823381179222,1785823381188715,9493,201,782026,7963635,869488,run-root-183077,false,false,true,true,1,0,2,1,1,1,1,
125,measured-agent-decision,1785823381179222,1785823381188892,9670,201,799155,7978131,844776,run-root-183081,false,false,true,true,1,0,2,0,0,0,0,
126,measured-agent-decision,1785823381179222,1785823381190563,11341,201,897311,8039540,959431,run-root-183115,false,false,true,true,1,0,2,0,0,0,0,
127,measured-agent-decision,1785823381179222,1785823381182059,2837,201,387337,6334403,915518,run-root-182946,false,false,true,true,5,4,2,0,0,0,0,
128,measured-agent-decision,1785823381179222,1785823381188169,8947,201,699217,7941299,838069,run-root-183061,false,false,true,true,2,1,2,0,0,0,0,
129,measured-agent-decision,1785823381179222,1785823381189862,10640,201,843156,7993286,919413,run-root-183101,false,false,true,true,1,0,2,1,0,0,0,
130,measured-agent-decision,1785823381179222,1785823381191543,12321,201,1028071,8119777,1084152,run-root-183139,false,false,true,true,1,0,2,1,0,0,0,
131,measured-agent-decision,1785823381179222,1785823381191799,12577,201,1072648,8069705,1434589,run-root-183153,false,false,true,true,2,1,2,0,0,0,0,
132,measured-agent-decision,1785823381179222,1785823381191976,12754,201,1055277,8144859,1299353,run-root-183150,false,false,true,true,2,1,2,0,0,0,0,
133,measured-agent-decision,1785823381179222,1785823381193510,14288,201,1192436,8206043,1283714,run-root-183184,false,false,true,true,1,0,2,1,0,0,0,
134,measured-agent-decision,1785823381179222,1785823381182080,2858,201,396188,7618834,455493,run-root-182947,false,false,true,true,1,0,2,0,0,0,0,
135,measured-agent-decision,1785823381179222,1785823381185273,6051,201,557641,7790800,635006,run-root-183002,false,false,true,true,1,0,2,0,0,0,0,
136,measured-agent-decision,1785823381179222,1785823381185470,6248,201,561373,7804388,661871,run-root-183010,false,false,true,true,1,0,2,1,0,0,0,
137,measured-agent-decision,1785823381179222,1785823381187309,8087,201,643290,7896965,715783,run-root-183038,false,false,true,true,1,0,2,0,0,0,0,
138,measured-agent-decision,1785823381179222,1785823381188986,9764,201,774848,7960046,882553,run-root-183078,false,false,true,true,1,0,2,1,1,1,1,
139,measured-agent-decision,1785823381179222,1785823381190657,11435,201,901490,8048451,1303728,run-root-183113,false,false,true,true,5,4,2,0,0,0,0,
140,measured-agent-decision,1785823381179222,1785823381190827,11605,201,976636,8095161,1007527,run-root-183128,false,false,true,true,1,0,2,0,0,0,0,
141,measured-agent-decision,1785823381179222,1785823381182142,2920,201,278660,7136443,413695,run-root-182907,false,false,true,true,1,0,2,0,0,0,0,
142,measured-agent-decision,1785823381179222,1785823381183820,4598,201,494239,7722999,909503,run-root-182980,false,false,true,true,2,1,2,0,0,0,0,
143,measured-agent-decision,1785823381179222,1785823381184008,4786,201,479785,7712811,851333,run-root-182983,false,false,true,true,2,1,2,0,0,0,0,
144,measured-agent-decision,1785823381179222,1785823381187473,8251,201,683825,7929019,935784,run-root-183053,false,false,true,true,1,0,2,1,0,0,0,
145,measured-agent-decision,1785823381179222,1785823381189147,9925,201,850612,7584782,877298,run-root-183090,false,false,true,true,1,0,2,0,0,0,0,
146,measured-agent-decision,1785823381179222,1785823381190792,11570,201,948415,8075082,978502,run-root-183123,false,false,true,true,1,0,2,0,0,0,0,
147,measured-agent-decision,1785823381179222,1785823381192346,13124,201,1075173,8165052,1169154,run-root-183161,false,false,true,true,1,0,2,1,1,1,1,
148,measured-agent-decision,1785823381179222,1785823381182207,2985,201,410682,7623636,489466,run-root-182951,false,false,true,true,1,0,2,1,1,1,1,
149,measured-agent-decision,1785823381179222,1785823381184077,4855,201,487476,7715592,699676,run-root-182984,false,false,true,true,2,1,2,0,0,0,0,
150,measured-agent-decision,1785823381179222,1785823381185810,6588,201,566552,7824493,729156,run-root-183008,false,false,true,true,1,0,2,1,0,0,0,
151,measured-agent-decision,1785823381179222,1785823381186031,6809,201,594693,7874176,854589,run-root-183020,false,false,true,true,2,1,2,0,0,0,0,
152,measured-agent-decision,1785823381179222,1785823381187791,8569,201,686220,7934392,755766,run-root-183051,false,false,true,true,1,0,2,1,0,0,0,
153,measured-agent-decision,1785823381179222,1785823381189448,10226,201,834930,7986834,856565,run-root-183088,false,false,true,true,1,0,2,0,0,0,0,
154,measured-agent-decision,1785823381179222,1785823381189589,10367,201,869300,8011406,956471,run-root-183093,false,false,true,true,1,0,2,1,0,0,0,
155,measured-agent-decision,1785823381179222,1785823381182239,3017,201,409596,7626263,485932,run-root-182950,false,false,true,true,1,0,2,1,1,1,1,
156,measured-agent-decision,1785823381179222,1785823381183905,4683,201,471063,7694641,716319,run-root-182977,false,false,true,true,2,1,2,0,0,0,0,
157,measured-agent-decision,1785823381179222,1785823381187203,7981,201,616423,7077588,747861,run-root-183033,false,false,true,true,1,0,2,0,0,0,0,
158,measured-agent-decision,1785823381179222,1785823381188785,9563,201,735163,7959939,802691,run-root-183073,false,false,true,true,1,0,2,0,0,0,0,
159,measured-agent-decision,1785823381179222,1785823381190435,11213,201,886028,8029039,1262784,run-root-183109,false,false,true,true,2,1,2,0,0,0,0,
160,measured-agent-decision,1785823381179222,1785823381191949,12727,201,1063494,8154222,1294632,run-root-183152,false,false,true,true,2,1,2,0,0,0,0,
161,measured-agent-decision,1785823381179222,1785823381192108,12886,201,1058785,8149396,1426272,run-root-183155,false,false,true,true,5,4,2,0,0,0,0,
162,measured-agent-decision,1785823381179222,1785823381182314,3092,201,236816,6150777,476793,run-root-182894,false,false,true,true,2,1,2,0,0,0,0,
163,measured-agent-decision,1785823381179222,1785823381182562,3340,201,433905,7657053,477674,run-root-182958,false,false,true,true,1,0,2,0,0,0,0,
164,measured-agent-decision,1785823381179222,1785823381184269,5047,201,489053,7723272,1026741,run-root-182986,false,false,true,true,5,4,2,0,0,0,0,
165,measured-agent-decision,1785823381179222,1785823381184460,5238,201,531473,7742894,584879,run-root-182990,false,false,true,true,1,0,2,0,0,0,0,
166,measured-agent-decision,1785823381179222,1785823381184632,5410,201,519444,7727433,646508,run-root-182993,false,false,true,true,1,0,2,1,1,1,1,
167,measured-agent-decision,1785823381179222,1785823381187918,8696,201,673018,7921901,936111,run-root-183052,false,false,true,true,1,0,2,1,0,0,0,
168,measured-agent-decision,1785823381179222,1785823381192494,13272,201,1139475,8185520,1182053,run-root-183171,false,false,true,true,1,0,2,0,0,0,0,
169,measured-agent-decision,1785823381179222,1785823381182414,3192,201,422726,7639831,514151,run-root-182956,false,false,true,true,1,0,2,0,0,0,0,
170,measured-agent-decision,1785823381179222,1785823381182674,3452,201,450533,7676112,594873,run-root-182967,false,false,true,true,1,0,2,1,0,0,0,
171,measured-agent-decision,1785823381179222,1785823381185992,6770,201,569153,7842567,830702,run-root-183016,false,false,true,true,1,0,2,1,0,0,0,
172,measured-agent-decision,1785823381179222,1785823381190774,11552,201,952694,8078889,979317,run-root-183122,false,false,true,true,1,0,2,0,0,0,0,
173,measured-agent-decision,1785823381179222,1785823381193651,14429,201,1195642,8213756,1265944,run-root-183185,false,false,true,true,1,0,2,1,0,0,0,
174,measured-agent-decision,1785823381179222,1785823381195431,16209,201,1299199,8281349,1377777,run-root-183218,false,false,true,true,1,0,2,1,0,0,0,
175,measured-agent-decision,1785823381179222,1785823381196899,17677,201,1268184,8238631,1352565,run-root-183202,false,false,true,true,1,0,2,1,1,1,1,
176,measured-agent-decision,1785823381179222,1785823381198078,18856,201,1472662,8592609,1737972,run-root-183276,false,false,true,true,2,1,2,0,0,0,0,
177,measured-agent-decision,1785823381179222,1785823381182431,3209,201,434606,7659894,474471,run-root-182957,false,false,true,true,1,0,2,0,0,0,0,
178,measured-agent-decision,1785823381179222,1785823381184133,4911,201,520849,7735446,591755,run-root-182989,false,false,true,true,1,0,2,0,0,0,0,
179,measured-agent-decision,1785823381179222,1785823381185851,6629,201,563063,6861318,794094,run-root-183012,false,false,true,true,1,0,2,1,0,0,0,
180,measured-agent-decision,1785823381179222,1785823381187696,8474,201,654867,7163869,693267,run-root-183041,false,false,true,true,1,0,2,0,0,0,0,
181,measured-agent-decision,1785823381179222,1785823381189362,10140,201,866579,8009086,895938,run-root-183085,false,false,true,true,1,0,2,0,0,0,0,
182,measured-agent-decision,1785823381179222,1785823381191111,11889,201,1007133,8107568,1082199,run-root-183134,false,false,true,true,1,0,2,1,0,0,0,
183,measured-agent-decision,1785823381179222,1785823381192672,13450,201,1142947,8188965,1168186,run-root-183165,false,false,true,true,1,0,2,0,0,0,0,
184,measured-agent-decision,1785823381179222,1785823381192956,13734,201,1105287,8172553,1149082,run-root-183168,false,false,true,true,1,0,2,0,0,0,0,
185,measured-agent-decision,1785823381179222,1785823381182436,3214,201,430436,7643153,535424,run-root-182955,false,false,true,true,1,0,2,0,0,0,0,
186,measured-agent-decision,1785823381179222,1785823381184025,4803,201,483917,7712507,1035725,run-root-182982,false,false,true,true,2,1,2,0,0,0,0,
187,measured-agent-decision,1785823381179222,1785823381185749,6527,201,573655,7841183,682635,run-root-183014,false,false,true,true,1,0,2,1,0,0,0,
188,measured-agent-decision,1785823381179222,1785823381187557,8335,201,670786,7247263,734905,run-root-183043,false,false,true,true,1,0,2,0,0,0,0,
189,measured-agent-decision,1785823381179222,1785823381189200,9978,201,789608,7974512,820169,run-root-183082,false,false,true,true,1,0,2,0,0,0,0,
190,measured-agent-decision,1785823381179222,1785823381189411,10189,201,858322,7995213,889791,run-root-183089,false,false,true,true,1,0,2,0,0,0,0,
191,measured-agent-decision,1785823381179222,1785823381191155,11933,201,1034970,8134962,1105247,run-root-183141,false,false,true,true,1,0,2,1,0,0,0,
192,measured-agent-decision,1785823381179222,1785823381194315,15093,201,1235635,8223961,1448635,run-root-183195,false,false,true,true,2,1,2,0,0,0,0,
193,measured-agent-decision,1785823381179222,1785823381182761,3539,201,446298,7679158,511531,run-root-182964,false,false,true,true,1,0,2,0,0,0,0,
194,measured-agent-decision,1785823381179222,1785823381184589,5367,201,520336,7728576,597783,run-root-182991,false,false,true,true,1,0,2,0,0,0,0,
195,measured-agent-decision,1785823381179222,1785823381186413,7191,201,587895,7860767,867878,run-root-183021,false,false,true,true,2,1,2,0,0,0,0,
